batter,pitch_type,pitch_name,family,pitches,whiff,slg,xwoba
457705,FF,4-Seam FB,Fastball,144,0.2535211267605634,0.34210526315789475,0.24655978947368423
457705,SI,Sinker,Fastball,64,0.17857142857142858,0.42857142857142855,0.36465284615384613
457705,ST,Sweeper,Breaking,50,0.4,0.125,0.236125
457705,SL,Slider,Breaking,48,0.55,0.2857142857142857,0.2702
457705,CH,Changeup,Offspeed,35,0.35714285714285715,0.42857142857142855,0.11116666666666668
457705,FC,Cutter,Fastball,33,0.2727272727272727,0.0,0.3794035
467793,FF,4-Seam FB,Fastball,69,0.1891891891891892,0.06666666666666667,0.1401111111111111
467793,CH,Changeup,Offspeed,37,0.2,0.5,0.37963816666666667
500743,FF,4-Seam FB,Fastball,205,0.09523809523809523,0.45454545454545453,0.3278850166666667
500743,SI,Sinker,Fastball,153,0.06172839506172839,0.3111111111111111,0.32020402439024387
500743,CH,Changeup,Offspeed,97,0.30434782608695654,0.23529411764705882,0.21888235294117647
500743,SL,Slider,Breaking,91,0.20454545454545456,0.5,0.42623391666666666
500743,FC,Cutter,Fastball,75,0.1951219512195122,0.9,0.38687214999999997
500743,ST,Sweeper,Breaking,67,0.11538461538461539,0.2222222222222222,0.25625184210526314
500743,CU,Curveball,Breaking,41,0.3,0.6,0.396795
502054,FF,4-Seam FB,Fastball,28,0.4166666666666667,0.0,0.1437658
502671,FF,4-Seam FB,Fastball,321,0.22085889570552147,0.7011494252873564,0.37059924468085104
502671,SI,Sinker,Fastball,249,0.22058823529411764,0.26666666666666666,0.24609358620689653
502671,SL,Slider,Breaking,232,0.3153153153153153,0.32,0.27479788888888884
502671,CH,Changeup,Offspeed,162,0.27941176470588236,0.40540540540540543,0.32738717500000003
502671,FC,Cutter,Fastball,130,0.5230769230769231,0.2857142857142857,0.2577481
502671,ST,Sweeper,Breaking,122,0.20930232558139536,0.4666666666666667,0.23252377777777777
502671,CU,Curveball,Breaking,91,0.1875,0.47619047619047616,0.32858925
502671,FS,Splitter,Offspeed,29,0.25,0.16666666666666666,0.2806666666666667
506702,FF,4-Seam FB,Fastball,72,0.3333333333333333,0.18181818181818182,0.0986
506702,SI,Sinker,Fastball,30,0.21428571428571427,0.14285714285714285,0.22442857142857142
514888,SI,Sinker,Fastball,356,0.15151515151515152,0.2875,0.3047792282608696
514888,FF,4-Seam FB,Fastball,344,0.21637426900584794,0.5137614678899083,0.31221655652173913
514888,SL,Slider,Breaking,264,0.24812030075187969,0.39436619718309857,0.23868470422535212
514888,ST,Sweeper,Breaking,207,0.3490566037735849,0.38181818181818183,0.1864476274509804
514888,CH,Changeup,Offspeed,144,0.22807017543859648,0.2413793103448276,0.22017416129032258
514888,FC,Cutter,Fastball,131,0.140625,0.42857142857142855,0.37214829729729726
514888,CU,Curveball,Breaking,79,0.25,0.38461538461538464,0.26355500000000004
514888,FS,Splitter,Offspeed,49,0.36,0.18181818181818182,0.20190909090909087
514888,KC,Knuckle-Curve,Breaking,30,0.25,0.0,0.017333333333333333
516782,FF,4-Seam FB,Fastball,241,0.24427480916030533,0.26,0.26765696363636365
516782,CH,Changeup,Offspeed,109,0.35,0.4,0.2995357142857143
516782,SI,Sinker,Fastball,93,0.09302325581395349,0.6111111111111112,0.4772977894736842
516782,FC,Cutter,Fastball,61,0.3076923076923077,0.1,0.2811111111111111
516782,SL,Slider,Breaking,59,0.3142857142857143,0.3,0.22475000000000006
516782,ST,Sweeper,Breaking,54,0.35714285714285715,0.35714285714285715,0.2539166666666667
516782,CU,Curveball,Breaking,50,0.3448275862068966,0.2,0.22185505882352943
518595,FF,4-Seam FB,Fastball,68,0.2,0.3125,0.34047862500000003
518595,SI,Sinker,Fastball,48,0.3,0.125,0.41406
518595,CH,Changeup,Offspeed,27,0.47368421052631576,0.3,0.1388
518595,SL,Slider,Breaking,26,0.5,0.6666666666666666,0.5751316
518595,FC,Cutter,Fastball,25,0.3125,0.14285714285714285,0.239228625
518692,FF,4-Seam FB,Fastball,669,0.18798955613577023,0.551948051948052,0.3931823313609467
518692,SI,Sinker,Fastball,362,0.193717277486911,0.40476190476190477,0.3489113043478261
518692,SL,Slider,Breaking,345,0.36054421768707484,0.22950819672131148,0.332616893939394
518692,CH,Changeup,Offspeed,274,0.1935483870967742,0.288135593220339,0.33715566101694916
518692,FC,Cutter,Fastball,216,0.18584070796460178,0.7948717948717948,0.4698024468085107
518692,ST,Sweeper,Breaking,169,0.27848101265822783,0.38235294117647056,0.3292818378378378
518692,CU,Curveball,Breaking,122,0.11538461538461539,0.6666666666666666,0.4453033666666667
518692,FS,Splitter,Offspeed,67,0.1,0.6428571428571429,0.29691666666666666
518692,KC,Knuckle-Curve,Breaking,42,0.30434782608695654,0.45454545454545453,0.327833
519317,FF,4-Seam FB,Fastball,139,0.3220338983050847,0.14814814814814814,0.212691037037037
519317,SI,Sinker,Fastball,78,0.2571428571428571,0.9166666666666666,0.48209090909090907
519317,CH,Changeup,Offspeed,66,0.3548387096774194,0.38095238095238093,0.3192299523809524
519317,SL,Slider,Breaking,56,0.4827586206896552,1.0,0.5309163571428572
519317,ST,Sweeper,Breaking,45,0.631578947368421,0.07692307692307693,0.08972727272727274
519317,FC,Cutter,Fastball,25,0.3333333333333333,0.0,0.5495526666666667
521692,FF,4-Seam FB,Fastball,528,0.23225806451612904,0.3728813559322034,0.35052880314960627
521692,SL,Slider,Breaking,295,0.3184713375796178,0.23684210526315788,0.23748568354430383
521692,ST,Sweeper,Breaking,254,0.3253968253968254,0.35,0.2669372307692308
521692,SI,Sinker,Fastball,215,0.10569105691056911,0.74,0.5037318392857143
521692,FC,Cutter,Fastball,185,0.25,0.20588235294117646,0.2997098611111111
521692,CH,Changeup,Offspeed,172,0.23529411764705882,0.4915254237288136,0.23310272580645164
521692,CU,Curveball,Breaking,124,0.2153846153846154,0.375,0.24783840625000003
521692,FS,Splitter,Offspeed,39,0.25,0.16666666666666666,0.14400000000000002
521692,KC,Knuckle-Curve,Breaking,38,0.6086956521739131,0.47058823529411764,0.11323529411764705
542303,FF,4-Seam FB,Fastball,386,0.1746987951807229,0.391304347826087,0.40688366315789476
542303,SI,Sinker,Fastball,254,0.1553398058252427,0.3225806451612903,0.28177549206349206
542303,SL,Slider,Breaking,181,0.4819277108433735,0.3235294117647059,0.22598963636363636
542303,CH,Changeup,Offspeed,167,0.47297297297297297,0.16,0.24465257142857144
542303,ST,Sweeper,Breaking,115,0.34782608695652173,0.21052631578947367,0.26076915789473687
542303,FC,Cutter,Fastball,99,0.3829787234042553,0.4444444444444444,0.25462257894736845
542303,CU,Curveball,Breaking,54,0.28,0.125,0.174125
543309,FF,4-Seam FB,Fastball,211,0.1348314606741573,0.41304347826086957,0.30991704255319147
543309,SI,Sinker,Fastball,173,0.14102564102564102,0.6363636363636364,0.3871788571428572
543309,SL,Slider,Breaking,163,0.4155844155844156,0.19444444444444445,0.19121318421052633
543309,ST,Sweeper,Breaking,79,0.3333333333333333,0.05263157894736842,0.20604052631578948
543309,CH,Changeup,Offspeed,68,0.45161290322580644,0.7,0.39787684615384616
543309,CU,Curveball,Breaking,56,0.2222222222222222,0.0,0.25772862500000004
543309,FC,Cutter,Fastball,40,0.2692307692307692,0.875,0.2917142857142857
543510,FF,4-Seam FB,Fastball,142,0.14754098360655737,0.41379310344827586,0.3158428620689655
543510,SL,Slider,Breaking,90,0.4074074074074074,0.3448275862068966,0.20947514814814813
543510,SI,Sinker,Fastball,74,0.125,0.6875,0.394125
543510,ST,Sweeper,Breaking,50,0.4827586206896552,0.46153846153846156,0.19231416666666667
543510,CH,Changeup,Offspeed,47,0.23076923076923078,0.6,0.22386988888888892
543510,FC,Cutter,Fastball,37,0.25,0.6363636363636364,0.5083
543510,FS,Splitter,Offspeed,29,0.4444444444444444,0.125,0.04357142857142857
543510,CU,Curveball,Breaking,25,0.4166666666666667,0.4,0.0466
543760,FF,4-Seam FB,Fastball,404,0.19138755980861244,0.5053763440860215,0.3555292843137255
543760,SL,Slider,Breaking,313,0.3885350318471338,0.13924050632911392,0.1671048
543760,SI,Sinker,Fastball,296,0.1111111111111111,0.4659090909090909,0.37247252127659575
543760,ST,Sweeper,Breaking,187,0.25287356321839083,0.13953488372093023,0.2107412272727273
543760,FC,Cutter,Fastball,156,0.23684210526315788,0.6071428571428571,0.33499389285714287
543760,CH,Changeup,Offspeed,125,0.3728813559322034,0.38461538461538464,0.4035033666666667
543760,CU,Curveball,Breaking,96,0.3170731707317073,0.2222222222222222,0.24535942105263162
543760,FS,Splitter,Offspeed,50,0.16,0.3333333333333333,0.2736791538461538
543807,FF,4-Seam FB,Fastball,467,0.20085470085470086,0.5108695652173914,0.33344788349514565
543807,SI,Sinker,Fastball,394,0.14204545454545456,0.25882352941176473,0.3049826914893617
543807,SL,Slider,Breaking,236,0.3448275862068966,0.42857142857142855,0.25504542424242427
543807,ST,Sweeper,Breaking,193,0.25263157894736843,0.2916666666666667,0.22274382352941177
543807,CH,Changeup,Offspeed,156,0.3333333333333333,0.3235294117647059,0.29241064864864863
543807,FC,Cutter,Fastball,120,0.15789473684210525,0.7586206896551724,0.47741025000000004
543807,CU,Curveball,Breaking,72,0.2,0.6923076923076923,0.2694615384615385
543807,FS,Splitter,Offspeed,55,0.34375,0.36363636363636365,0.27106908333333335
543877,FF,4-Seam FB,Fastball,323,0.21301775147928995,0.4044943820224719,0.2712769784946237
543877,SI,Sinker,Fastball,202,0.060240963855421686,0.3695652173913043,0.27128777551020405
543877,SL,Slider,Breaking,131,0.3076923076923077,0.15,0.16065642857142862
543877,ST,Sweeper,Breaking,104,0.3076923076923077,0.2857142857142857,0.1832307692307692
543877,FC,Cutter,Fastball,80,0.1282051282051282,0.625,0.2839375
543877,CH,Changeup,Offspeed,54,0.19230769230769232,0.18181818181818182,0.20580483333333333
543877,CU,Curveball,Breaking,42,0.2857142857142857,0.1,0.17940241666666668
545121,FF,4-Seam FB,Fastball,468,0.11255411255411256,0.3282442748091603,0.3137129782608695
545121,CH,Changeup,Offspeed,219,0.16129032258064516,0.36923076923076925,0.31288704615384616
545121,SL,Slider,Breaking,191,0.20833333333333334,0.4666666666666667,0.2329506590909091
545121,SI,Sinker,Fastball,166,0.0958904109589041,0.6037735849056604,0.366789962962963
545121,FC,Cutter,Fastball,118,0.08771929824561403,0.782608695652174,0.38150456000000005
545121,CU,Curveball,Breaking,113,0.23076923076923078,0.15789473684210525,0.24493750000000003
545121,ST,Sweeper,Breaking,102,0.25,0.2857142857142857,0.2951102608695652
545121,FS,Splitter,Offspeed,46,0.16666666666666666,0.14285714285714285,0.1665714285714286
545121,KC,Knuckle-Curve,Breaking,25,0.0,1.6,0.55475
545341,FF,4-Seam FB,Fastball,269,0.1793103448275862,0.4666666666666667,0.30679973214285716
545341,SI,Sinker,Fastball,127,0.09433962264150944,0.5483870967741935,0.3217512068965517
545341,CH,Changeup,Offspeed,125,0.35,0.6097560975609756,0.3696944444444445
545341,SL,Slider,Breaking,109,0.3898305084745763,0.32142857142857145,0.23645848387096777
545341,FC,Cutter,Fastball,70,0.16666666666666666,0.29411764705882354,0.3605294117647059
